Ticker,Date,Strategy,EntryPrice,MarketRegime,Ret5d,SpyRet5d,BeatSpy5d,Ret10d,SpyRet10d,BeatSpy10d,Ret20d,SpyRet20d,BeatSpy20d
AWK,2026-02-09,box_bottom,122.95,bull,8.59,-1.60,true,9.05,-0.95,true,8.04,-2.42,true
AWK,2026-02-10,box_bottom,125.03,bull,4.90,-0.84,true,7.35,0.15,true,7.45,-2.28,true
AWK,2026-05-11,box_bottom,126.01,bull,-0.94,-0.09,false,-1.71,1.53,false,-0.38,-0.30,false
AWK,2026-05-21,box_bottom,123.88,bull,-0.49,1.85,false,0.48,-0.70,true,0.84,0.22,true
BAC,2025-10-13,box_bottom,48.86,bull,6.51,1.25,true,8.51,3.35,true,9.33,2.78,true
BAC,2026-01-28,box_bottom,51.81,bull,6.89,-1.33,true,3.94,-0.50,true,0.95,-0.88,true
BALL,2026-02-03,squeeze_breakout,61.77,bull,9.70,0.38,true,7.35,-0.47,true,4.87,-0.64,true
BALL,2026-03-17,box_bottom,61.76,bear,-4.27,-2.63,false,-4.29,-3.05,false,1.62,4.35,false
BBY,2025-12-19,box_bottom,71.83,bull,-5.55,1.07,false,0.47,1.65,false,-7.34,0.71,false
BBY,2026-01-30,box_bottom,65.10,bull,8.16,-0.20,true,1.08,-1.48,true,-5.39,-0.81,false
BDX,2025-11-04,box_bottom,140.75,bull,5.57,1.15,true,7.42,-2.25,true,8.12,1.28,true
BG,2025-10-15,squeeze_breakout,93.09,bull,2.57,0.40,true,3.23,3.34,false,3.45,2.74,true
BG,2025-12-29,box_bottom,89.36,bull,5.60,0.58,true,14.81,0.86,true,29.03,1.10,true
BG,2025-12-30,box_bottom,89.68,bull,3.24,0.37,true,17.60,0.49,true,28.40,1.02,true
BKR,2025-10-17,box_bottom,45.18,bull,4.69,1.94,true,7.15,2.66,true,7.86,1.13,true
BKR,2025-12-19,box_bottom,44.71,bull,1.50,1.07,true,10.45,1.65,true,19.86,0.71,true
BLK,2025-11-05,box_bottom,1073.57,bull,1.90,0.86,true,-5.49,-2.21,false,0.19,1.01,false
BLK,2025-11-06,box_bottom,1069.44,bull,0.02,0.26,false,-7.19,-2.65,false,0.25,2.29,false
BMY,2026-04-30,squeeze_breakout,60.59,bull,-7.16,1.80,false,-6.30,4.11,false,-5.63,5.26,false
BNY,2026-01-05,squeeze_breakout,121.04,bull,-0.31,1.08,false,-0.30,-1.47,true,-1.42,0.26,false
BR,2025-11-04,box_bottom,222.86,bull,0.00,1.15,false,0.93,-2.25,true,3.41,1.28,true
BR,2025-11-07,box_bottom,221.72,bull,1.96,0.14,true,3.01,-1.78,true,2.62,1.89,true
BR,2026-01-05,box_bottom,222.82,bull,0.09,1.08,false,-6.08,-1.47,false,-16.55,0.26,false
BR,2026-01-22,box_bottom,209.79,bull,-6.59,0.73,false,-7.75,-1.65,false,-15.62,0.07,false
BR,2026-05-12,box_bottom,149.53,bull,-0.07,-0.60,true,-1.63,1.66,false,-2.07,-1.73,false
BRO,2026-02-03,box_bottom,71.96,bull,-6.05,0.38,false,-3.15,-0.47,false,-0.15,-0.64,true
BRO,2026-03-26,box_bottom,65.14,bear,1.24,1.66,false,-0.09,5.33,false,1.17,10.67,false
BXP,2025-10-14,box_bottom,70.53,bull,2.04,1.37,true,5.05,3.75,true,2.68,3.14,false
BXP,2026-01-08,box_bottom,67.05,bull,0.09,0.40,false,-2.33,-0.04,false,-3.48,0.16,false
CAH,2026-03-24,box_bottom,207.23,bear,1.97,-0.43,true,3.81,3.50,true,-3.22,8.88,false
CASY,2025-10-27,box_bottom,535.95,bull,-4.16,-0.28,false,-0.64,-0.55,false,0.90,-2.41,true
CASY,2025-11-03,box_bottom,513.65,bull,3.68,-0.28,true,4.42,-2.59,true,10.35,-0.26,true
CAT,2025-10-29,squeeze_breakout,585.49,bull,-2.79,-1.43,false,-2.13,-0.58,false,-2.01,-1.12,false
CB,2026-05-14,box_bottom,320.09,bull,3.18,-0.73,true,-2.61,1.11,false,2.51,-0.86,true
CBOE,2025-10-31,squeeze_breakout,245.64,bull,4.47,-1.63,true,5.17,-1.49,true,3.92,-0.26,true
CBOE,2026-05-01,squeeze_breakout,326.96,bull,6.61,2.35,true,11.03,2.57,true,-7.94,5.26,false
CBRE,2025-10-13,box_bottom,152.93,bull,4.54,1.25,true,5.36,3.35,true,-0.72,2.78,false
CCI,2025-11-04,box_bottom,90.32,bull,4.33,1.15,true,0.80,-2.25,true,-2.20,1.28,false
CCI,2025-11-07,box_bottom,89.54,bull,2.39,0.14,true,0.52,-1.78,true,1.43,1.89,false
CDW,2026-01-06,box_bottom,134.34,bull,0.19,0.28,false,-5.00,-0.93,false,2.78,-0.81,true
CF,2025-10-20,box_bottom,83.93,bull,2.93,2.08,true,0.57,1.79,false,-3.86,-0.84,false
CF,2025-11-26,box_bottom,78.41,bull,2.32,0.69,true,0.32,1.40,false,-1.22,1.56,false
CFG,2026-07-16,squeeze_breakout,74.40,bull,0.00,0.00,false,0.00,0.00,false,0.00,0.00,false
CHD,2026-03-20,box_bottom,94.69,bear,0.00,-2.23,true,-1.65,1.60,false,1.96,9.27,false
CHD,2026-03-23,box_bottom,94.65,bear,-0.78,-3.57,true,-2.22,0.59,false,-1.52,7.43,false
CHD,2026-03-25,box_bottom,94.38,bear,-1.62,-0.24,false,1.89,3.52,false,0.21,7.86,false
CHD,2026-03-30,box_bottom,93.91,bear,-1.45,4.31,false,1.73,9.89,false,3.38,12.61,false
CHD,2026-03-31,box_bottom,93.32,bear,0.94,3.95,false,1.40,7.63,false,3.09,9.42,false
CI,2026-03-12,box_bottom,265.88,bear,-0.49,-0.94,true,2.33,-3.15,true,2.02,2.01,true
CINF,2026-03-23,box_bottom,160.19,bear,-2.35,-3.57,true,-0.01,0.59,false,3.91,7.43,false
CINF,2026-03-26,box_bottom,157.56,bear,0.54,1.66,false,2.27,5.33,false,4.39,10.67,false
CLX,2025-10-30,box_bottom,112.46,bull,-5.50,-1.40,false,-7.28,-1.15,false,-4.02,0.52,false
CLX,2025-11-04,box_bottom,110.42,bull,-4.88,1.15,false,-9.31,-2.25,false,-4.75,1.28,false
CLX,2025-12-24,box_bottom,98.21,bull,2.69,-1.04,true,8.13,0.53,true,14.93,0.34,true
CLX,2025-12-26,box_bottom,98.53,bull,2.79,-0.38,true,8.58,0.70,true,14.88,0.75,true
CLX,2026-04-30,box_bottom,96.44,bull,-4.49,1.80,false,-5.46,4.11,false,-6.66,5.26,false
CMCSA,2026-03-31,box_bottom,28.71,bear,-2.61,3.95,false,-1.43,7.63,false,-6.79,9.42,false
CMCSA,2026-06-24,box_bottom,22.64,bull,4.81,1.71,true,3.14,2.52,true,0.00,0.00,false
CME,2026-03-30,box_bottom,297.58,bear,4.37,4.31,true,-0.18,9.89,false,-4.39,12.61,false
CMS,2025-12-15,box_bottom,70.76,bull,-1.40,0.60,false,-0.48,0.92,false,0.23,1.41,false
CMS,2026-05-14,box_bottom,73.26,bull,0.52,-0.73,true,-0.94,1.11,false,0.42,-0.86,true
CMS,2026-05-18,box_bottom,72.13,bull,2.87,1.62,true,-0.39,2.83,false,2.63,1.58,true
CNP,2025-12-12,box_bottom,37.84,bull,-0.63,-0.17,false,1.53,0.89,true,2.01,1.76,true
CNP,2026-03-26,box_bottom,42.33,bear,3.26,1.66,true,2.50,5.33,false,0.33,10.67,false
COF,2026-01-06,squeeze_breakout,257.94,bull,-10.29,0.28,false,-10.44,-0.93,false,-12.59,-0.81,false
COP,2025-10-20,box_bottom,87.06,bull,1.87,2.08,false,1.73,1.79,false,1.91,-0.84,true
COP,2025-10-22,box_bottom,87.41,bull,0.77,2.93,false,0.33,1.46,false,0.65,-0.77,true
COST,2025-12-23,box_bottom,854.79,bull,0.88,-0.88,true,7.08,0.23,true,15.03,0.18,true
CPRT,2025-11-07,box_bottom,40.51,bull,1.41,0.14,true,0.54,-1.78,true,-5.18,1.89,false
CPRT,2025-12-09,box_bottom,38.44,bull,1.85,-0.61,true,1.85,0.72,true,1.56,0.95,true
CPT,2025-10-13,box_bottom,101.81,bull,1.26,1.25,true,2.31,3.35,false,0.58,2.78,false
CPT,2025-10-14,box_bottom,102.13,bull,1.26,1.37,false,-0.70,3.75,false,1.52,3.14,false
CPT,2025-10-15,box_bottom,101.70,bull,2.65,0.40,true,-4.05,3.34,false,0.97,2.74,false
CPT,2026-03-17,box_bottom,101.81,bear,-3.83,-2.63,false,-4.08,-3.05,false,-0.42,4.35,false
CPT,2026-03-19,box_bottom,99.68,bear,-2.02,-2.23,true,1.08,-0.60,true,3.73,7.63,false
CPT,2026-03-23,box_bottom,98.15,bear,-0.32,-3.57,true,2.73,0.59,true,4.41,7.43,false
CPT,2026-03-26,box_bottom,97.67,bear,3.16,1.66,true,4.38,5.33,false,4.18,10.67,false
CPT,2026-03-30,box_bottom,97.84,bear,3.06,4.31,false,4.03,9.89,false,8.27,12.61,false
CPT,2026-03-31,box_bottom,97.66,bear,4.72,3.95,true,3.81,7.63,false,7.84,9.42,false
CRH,2025-11-18,box_bottom,108.87,bear,6.80,2.26,true,11.47,3.61,true,13.02,1.71,true
CRH,2025-11-19,box_bottom,110.15,bear,8.63,2.57,true,9.90,3.28,true,15.45,2.09,true
CRH,2025-11-21,box_bottom,110.15,bear,8.65,3.22,true,14.88,3.73,true,14.59,3.91,true
CSX,2025-11-21,box_bottom,34.28,bear,1.66,3.22,false,6.04,3.73,true,6.59,3.91,true
CTAS,2026-03-23,box_bottom,181.21,bear,-6.93,-3.57,false,-6.03,0.59,false,-2.73,7.43,false
CTSH,2026-04-29,box_bottom,54.70,bull,-6.16,3.13,false,-15.96,4.32,false,-1.55,6.05,false
CTVA,2026-06-11,box_bottom,74.86,bull,4.98,1.22,true,10.37,-1.19,true,14.97,1.55,true
CTVA,2026-06-15,box_bottom,75.71,bull,4.49,-2.82,true,11.86,-1.07,true,11.54,-0.00,true
CVS,2026-03-23,box_bottom,71.29,bear,-1.61,-3.57,true,9.72,0.59,true,8.51,7.43,true
CVS,2026-03-25,box_bottom,72.18,bear,0.43,-0.24,true,9.23,3.52,true,9.25,7.86,true
CVX,2026-04-16,box_bottom,188.15,bull,-0.29,0.97,false,2.74,2.42,true,-0.80,6.63,false
D,2026-03-24,box_bottom,60.27,bear,2.57,-0.43,true,4.86,3.50,true,1.13,8.88,false
DASH,2026-01-21,box_bottom,206.48,bull,0.09,1.46,false,-5.16,0.12,false,-14.67,-0.13,false
DASH,2026-01-22,box_bottom,207.65,bull,0.01,0.73,false,-11.46,-1.65,false,-15.10,0.07,false
DDOG,2025-11-06,squeeze_breakout,190.82,bull,-2.54,0.26,false,-16.38,-2.65,false,-20.65,2.29,false
DGX,2025-12-26,box_bottom,175.94,bull,-1.39,-0.38,false,0.00,0.70,false,4.72,0.75,true
DGX,2026-03-24,box_bottom,196.08,bear,-0.05,-0.43,true,1.39,3.50,false,4.04,8.88,false
DGX,2026-03-25,box_bottom,196.46,bear,0.63,-0.24,true,0.69,3.52,false,1.56,7.86,false
DHI,2026-03-09,box_bottom,147.69,bear,-3.79,-1.36,false,-6.01,-3.37,false,-7.19,-2.81,false
DHR,2026-02-09,box_bottom,216.66,bull,-4.75,-1.60,false,-3.45,-0.95,false,-9.90,-2.42,false
DHR,2026-05-05,box_bottom,174.63,bull,-4.79,1.99,false,-4.35,1.38,false,1.98,4.21,false
DHR,2026-05-06,box_bottom,174.92,bull,-5.11,1.16,false,-2.17,1.01,false,6.70,3.17,true
DIS,2025-11-21,box_bottom,104.28,bear,2.39,3.22,false,3.21,3.73,false,7.77,3.91,true
DIS,2026-03-17,box_bottom,100.30,bear,-3.90,-2.63,false,-3.91,-3.05,false,2.73,4.35,false
